品牌名称,层级,品类,代表产品,出海契合度,目标市场,合作与变现方式,招商钩子/备注,状态
王老吉,老字号,饮料/凉茶,凉茶,高,"欧美华人,东南亚",DTC食品/联盟,华人超市刚需,待建联
老干妈,老字号,调味品,辣椒酱,高,全球,DTC食品/联盟,海外中餐标配,待建联
回力,老字号,鞋服,帆布鞋,高,全球,DTC/联盟,国潮符号,待建联
同仁堂,老字号,保健品/中药,滋补品,中,欧美华人,招商撮合,需合规资质,待评估
云南白药,老字号,日化,牙膏/创可贴,中,东南亚,DTC/分销,东南亚认知度高,待建联
海尔 Haier,现代冠军,家电,冰箱/洗衣机,高,全球,招商撮合（海外分销）,全球渠道成熟,待建联
美的 Midea,现代冠军,家电,空调/小家电,高,全球,招商撮合,东南亚强势,待建联
格力 Gree,现代冠军,家电,空调,中,全球,招商撮合,需授权,待评估
大疆 DJI,现代冠军,无人机/影像,无人机,高,全球,分销/联盟,技术壁垒高,待建联
安克 Anker,现代冠军,3C配件,充电器/数据线,高,欧美,DTC/联盟,已验证出海模型,待建联
花西子,出海新锐,美妆,彩妆,高,"欧美,东南亚",DTC/联盟,国风美妆出圈,待建联
添可 Tineco,出海新锐,清洁家电,洗地机,高,欧美,DTC/分销,欧美已成势,待建联
泡泡玛特 Pop Mart,出海新锐,潮玩,盲盒,高,全球,DTC/分销,全球IP热度,待建联
