中文名,英文名,子品类,一句话卖点(EN),目标市场,出海契合度,变现方式,状态
石头科技,Roborock,清洁-扫地机器人,"Built a premium robot-vacuum brand that out-sells legacy names in the US & EU",US/EU,高,分销/联盟,MVP候选-待建联
追觅,Dreame,清洁-无线吸尘/扫地,"High-speed motor tech, rivals premium Western brands at half price",Global,高,分销/联盟,MVP候选-待建联
科沃斯,Ecovacs,清洁-扫地/拖地,"One of the earliest Chinese robot cleaners to go global",Global,高,分销/联盟,MVP候选-待建联
添可,Tineco,清洁-洗地机,"Turned floor washing into a new category overseas",US/EU,高,分销/联盟,MVP候选-待建联
云鲸,Narwal,清洁-拖地机器人,"Self-cleaning robot mop that went viral overseas",US/EU,高,分销/联盟,MVP候选-待建联
九阳,Joyoung,厨房-豆浆机/破壁,"Pioneer of soy-milk maker, now global small-kitchen name",SE Asia/海外华人,中,分销/联盟,MVP候选-待建联
北鼎,Buydeem,厨房-高端壶/咖啡,"Design-led premium countertop appliances for global kitchen",US/EU,中,分销/DTC,MVP候选-待建联
小熊电器,Bear,厨房-多品类小家电,"Cute affordable gadgets winning young households, crossing borders",SE Asia,中,分销/联盟,MVP候选-待建联
德尔玛,Deerma,厨房-加湿/家居,"Affordable home-comfort appliances for cross-border scale",Global,中,分销/联盟,MVP候选-待建联
飞科,Flyco,个护-剃须/护理,"China's everyday grooming brand going international",Global,中,分销/联盟,MVP候选-待建联
